,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
494,IDFC,IDFC Asset Allocation Conservative Direct Growth,Other,Moderately High Risk,3.0,2.63,7.72,6.78
495,Edelweiss,Edelweiss Greater China Equity Off shore Fund Direct Growth,Other,Very High Risk,,-29.55,7.71,8.55
496,DSP,DSP Global Allocation Fund Direct Growth,Other,Very High Risk,,-9.14,7.62,7.5
497,Axis,Axis Strategic Bond Fund Direct Growth,Debt,Moderate Risk,4.0,4.35,7.6,7.33
498,LIC,LIC MF Debt Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.31,7.58,7.1
499,Tata,Tata Medium Term Fund Direct Growth,Debt,Moderate Risk,4.0,3.59,7.51,3.35
500,Axis,Axis Credit Risk Fund Direct Growth,Debt,Moderately High Risk,4.0,4.54,7.45,6.73
501,SBI,SBI Magnum Medium Duration Fund Direct Growth,Debt,Moderately High Risk,4.0,3.3,7.43,7.71
502,Bank,Bank of India Short Term Income Fund Direct Growth,Debt,Moderate Risk,5.0,17.97,7.4,2.54
503,ICICI,ICICI Prudential Short Term Fund Direct Plan Growth,Debt,Moderate Risk,4.0,4.45,7.39,7.43
504,L&T,L&T Conservative Hybrid Fund Direct Growth,Hybrid,Moderate Risk,3.0,2.29,7.35,6.49
505,SBI,SBI Magnum Income Direct Plan Growth,Debt,Moderately High Risk,4.0,2.66,7.35,7.22
506,Edelweiss,Edelweiss Banking and PSU Debt Fund Direct Growth,Debt,Moderate Risk,1.0,3.25,7.32,7.9
507,Axis,Axis Corporate Debt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,3.74,7.3,7.37
508,BNP,BNP Paribas Short Term Fund Direct Growth,Debt,Moderate Risk,3.0,5.32,7.29,7.32
509,ICICI,ICICI Prudential Retirement Fund Pure Debt Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,3.34,7.28,
510,ICICI,ICICI Prudential Gilt Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.07,7.25,7.03
511,HDFC,HDFC Dynamic Debt Fund Direct Plan Growth,Debt,Moderate Risk,5.0,1.83,7.23,5.28
512,UTI,UTI Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,,10.13,7.19,5.61
513,Aditya,Aditya Birla Sun Life Short Term Direct Fund Growth,Debt,Moderate Risk,4.0,4.14,7.17,7.33
514,UTI,UTI Treasury Advantage Fund Direct Growth,Debt,Low to Moderate Risk,5.0,8.87,7.17,4.79
515,Navi,Navi Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,3.51,7.15,6.34
516,Tata,Tata Dynamic Bond Direct Growth,Debt,Moderately High Risk,4.0,5.67,7.13,6.6
517,DSP,DSP Strategic Bond Direct Plan Growth,Debt,Low to Moderate Risk,3.0,1.93,7.12,6.54
518,Kotak,Kotak Medium Term Fund Direct Growth,Debt,Moderate Risk,3.0,4.19,7.1,6.7
519,HDFC,HDFC Medium Term Debt Fund Direct Plan Growth,Debt,Moderately High Risk,4.0,3.15,7.05,7.21
520,SBI,SBI Credit Risk Fund Direct Growth,Debt,High Risk,4.0,4.23,7.05,6.85
521,IDFC,IDFC Regular Savings Fund Direct Plan Growth,Hybrid,Moderate Risk,2.0,1.09,7.04,6.14
522,Nippon,Nippon IndiaRetirement Fund Income Generation Scheme Direct Growth,Solution Oriented,Moderately High Risk,2.0,1.67,6.99,6.38
523,Aditya,Aditya Birla Sun Life Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.34,6.98,7.28
524,Edelweiss,Edelweiss Government Securities Fund Direct Growth,Debt,Moderate Risk,4.0,2.21,6.9,8.01
525,ICICI,ICICI Prudential Corporate Bond Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.9,6.87,7.14
526,Edelweiss,Edelweiss Europe Dynamic Equity Offshore Fund Direct Growth,Other,Very High Risk,,-16.83,6.87,4.64
527,L&T,L&T Resurgent India Bond Fund Direct Growth,Debt,Moderate Risk,3.0,2.74,6.85,6.36
528,HDFC,HDFC Short Term Debt Fund Direct Plan Growth,Debt,Moderate Risk,4.0,3.27,6.85,7.21
529,ICICI,ICICI Prudential Floating Interest Fund Direct Plan Growth,Debt,Low to Moderate Risk,,3.42,6.84,7.15
530,Kotak,Kotak Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,4.0,3.08,6.83,7.58
531,Nippon,Nippon India Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,3.44,6.82,6.96
532,Axis,Axis Dynamic Bond Direct Fund Growth,Debt,Moderate Risk,2.0,2.58,6.82,7.18
533,Nippon,Nippon India Floating Rate Fund Direct Growth,Debt,Low to Moderate Risk,,3.07,6.8,6.87
534,DSP,DSP Government Securities Direct Plan Growth,Debt,Low to Moderate Risk,5.0,2.38,6.77,7.44
535,Axis,Axis Short Term Direct Fund Growth,Debt,Moderate Risk,4.0,3.66,6.76,7.22
536,UTI,UTI Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.92,6.76,
537,ICICI,ICICI Prudential Bond Fund Direct Plan Growth,Debt,Moderate Risk,4.0,2.79,6.74,6.8
538,HDFC,HDFC Corporate Bond Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.03,6.7,7.15
539,ICICI,ICICI Prudential Banking & PSU Debt Direct Growth,Debt,Low to Moderate Risk,4.0,4.1,6.69,6.78
540,L&T,L&T Triple Ace Bond Direct Growth,Debt,Moderate Risk,2.0,2.59,6.68,7.35
541,Nippon,Nippon India Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.07,6.68,7.17
542,Kotak,Kotak Floating Rate Fund Direct Growth,Debt,Low to Moderate Risk,,3.03,6.66,
543,Aditya,Aditya Birla Sun Life Income Fund Direct Growth,Debt,Moderate Risk,4.0,2.38,6.65,6.69
544,Kotak,Kotak Banking and PSU Debt Fund Direct Growth,Debt,Moderate Risk,4.0,3.48,6.64,7.24
545,HDFC,HDFC Banking and PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.14,6.64,7.03
546,PGIM,PGIM India Corporate Bond Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.31,6.62,6.69
547,Axis,Axis Gilt Fund Direct Plan Growth,Debt,Moderate Risk,4.0,2.67,6.61,6.86
548,Nippon,Nippon India Corporate Bond Fund Direct Growth,Debt,Moderate Risk,5.0,3.88,6.59,6.94
549,Kotak,Kotak Gilt Investment PF & Trust Direct Growth,Debt,Low to Moderate Risk,3.0,2.24,6.59,7.0
550,IIFL,IIFL Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,4.0,3.82,6.58,6.52
551,Aditya,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,3.0,3.27,6.58,7.03
552,Sundaram,Sundaram Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4.0,2.81,6.56,6.72
553,ICICI,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,Other,Moderate Risk,4.0,3.31,6.54,6.85
554,Kotak,Kotak Bond Short Term Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.09,6.52,7.07
555,IDBI,IDBI Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,5.0,4.55,6.51,5.91
556,SBI,SBI Magnum Gilt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,3.09,6.51,7.01
557,IDFC,IDFC Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,2.89,6.51,7.37
558,Kotak,Kotak Bond Fund Direct Growth,Debt,Moderate Risk,4.0,2.29,6.5,6.61
559,IDFC,IDFC Government Securities Investment Plan Direct Growth,Debt,Moderate Risk,4.0,1.5,6.45,7.29
560,IDFC,IDFC Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.04,6.42,6.65
561,UTI,UTI Bond Fund Direct Growth,Debt,Moderate Risk,5.0,17.31,6.41,3.56
562,PGIM,PGIM India Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.12,6.39,6.98
563,IDBI,IDBI Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,3.51,6.37,5.63
564,HDFC,HDFC Floating Rate Debt Fund Direct Plan Growth,Debt,Moderate Risk,,3.8,6.36,6.88
565,Aditya,Aditya Birla Sun Life Government Securities Fund Direct Plan Growth,Debt,Moderate Risk,4.0,2.08,6.35,6.83
566,HSBC,HSBC Global Emerging Markets Direct Plan Growth,Other,Very High Risk,,-19.39,6.35,4.84
567,DSP,DSP World Energy Fund Direct Plan Growth,Other,Very High Risk,,-8.45,6.31,5.23
568,HSBC,HSBC Managed Solutions India Conservative Fund Direct Growth,Other,Moderate Risk,2.0,1.74,6.29,5.54
569,Kotak,Kotak Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.33,6.28,7.11
570,Tata,Tata Short Term Bond Direct Plan Growth,Debt,Low to Moderate Risk,3.0,2.99,6.27,5.54
571,IDFC,IDFC All Seasons Bond Fund Direct Growth,Other,Moderate Risk,3.0,2.61,6.26,6.78
572,DSP,DSP Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.63,6.24,6.72
573,SBI,SBI Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.77,6.23,
574,Axis,Axis Banking & PSU Debt Direct Plan Growth,Debt,Low to Moderate Risk,5.0,3.45,6.21,7.31
575,Aditya,Aditya Birla Sun Life Low Duration Fund Direct Growth,Debt,Moderate Risk,5.0,4.33,6.19,6.98
576,Franklin,Franklin India Corporate Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.05,6.18,7.06
577,Kotak,Kotak Low Duration Fund Direct Growth,Debt,Moderate Risk,4.0,3.83,6.17,6.98
578,Aditya,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Growth,Other,Moderate Risk,2.0,2.58,6.17,6.15
579,Invesco,Invesco India Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.37,6.15,5.9
580,ICICI,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,Debt,Moderate Risk,,0.69,6.15,7.5
581,Nippon,Nippon India Low Duration Fund Direct Growth,Debt,Moderate Risk,4.0,4.19,6.15,6.51
582,Franklin,Franklin India Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,3.0,3.02,6.14,7.11
583,IDFC,IDFC Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,1.43,6.13,6.75
584,SBI,SBI Dynamic Bond Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.18,6.1,6.83
585,IDFC,IDFC Credit Risk Fund Direct Growth,Debt,Moderate Risk,3.0,3.34,6.1,6.54
586,DSP,DSP Credit Risk Direct Plan Growth,Debt,Moderate Risk,3.0,8.81,6.1,4.73
587,Tata,Tata Income Fund Direct Growth,Debt,Moderate Risk,3.0,2.35,6.09,6.03
588,HDFC,HDFC Low Duration Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.97,6.08,6.68
589,IDFC,IDFC Bond Fund Short Term Plan Direct Growth,Debt,Low to Moderate Risk,2.0,2.69,6.08,6.77
590,Sundaram,Sundaram Short Term Debt Fund Direct Plan Growth,Debt,Low to Moderate Risk,2.0,13.68,6.07,6.42
591,UTI,UTI Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,6.89,6.06,5.75
592,SBI,SBI Short Term Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.01,6.06,6.64
593,Mirae,Mirae Asset Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.07,6.01,
594,Aditya,Aditya Birla Sun Life Floating Rate Direct Fund Growth,Debt,Low to Moderate Risk,,3.9,6.01,6.78
595,JM,JM Money Market Fund Direct Plan Growth,Debt,Moderately Low Risk,1.0,4.21,6.0,6.64
596,DSP,DSP Short Term Direct Plan Growth,Debt,Low to Moderate Risk,3.0,2.7,6.0,6.53
597,SBI,SBI Banking and PSU Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.27,5.95,7.06
598,Invesco,Invesco India Short Term Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.45,5.94,6.54
599,Nippon,Nippon India Gilt Securities Fund Direct Growth,Debt,Moderate Risk,3.0,1.87,5.94,7.24
600,Nippon,Nippon India Gilt Securities Fund Direct Defined Maturity Date Growth,Debt,Moderate Risk,3.0,1.87,5.94,7.24
601,Canara,Canara Robeco Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.65,5.93,6.47
602,Union,Union Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.04,5.93,
603,Kotak,Kotak Credit Risk Fund Direct Growth,Debt,Moderately High Risk,2.0,2.03,5.91,6.61
604,Principal,Principal Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,29.59,5.9,8.85
605,Nippon,Nippon India Income Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.48,5.9,6.64
606,ICICI,ICICI Prudential Savings Fund Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.45,5.9,6.62
607,L&T,L&T Short Term Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.38,5.87,6.62
608,ICICI,ICICI Prudential Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,5.0,4.37,5.84,6.72
609,Baroda,Baroda BNP Paribas Low Duration Fund Direct Growth,Debt,Moderate Risk,3.0,3.74,5.82,6.52
610,L&T,L&T Banking and PSU Debt Fund Direct Growth,Debt,Moderate Risk,2.0,1.36,5.8,6.45
611,Invesco,Invesco India Credit Risk Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.78,5.78,3.49
612,PGIM,PGIM India Dynamic Bond Direct Plan Growth,Debt,Low to Moderate Risk,4.0,2.8,5.78,6.64
613,DSP,DSP Bond Direct Growth,Debt,Moderate Risk,3.0,2.81,5.77,4.79
614,Mirae,Mirae Asset Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,1.74,5.76,6.77
615,LIC,LIC MF Govt. Securities Fund Direct Growth,Debt,Moderate Risk,4.0,2.17,5.73,6.8
616,Canara,Canara Robeco Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.64,5.71,6.31
617,Baroda,Baroda BNP Paribas Short Duration Direct Fund Growth,Debt,Moderate Risk,3.0,2.87,5.69,6.74
618,L&T,L&T Gilt Fund Direct Growth,Debt,Moderate Risk,2.0,1.91,5.67,6.33
619,Quantum,Quantum Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.91,5.67,5.84
620,UTI,UTI Floater Fund Direct Growth,Debt,Low to Moderate Risk,,3.25,5.65,
621,Canara,Canara Robeco Income Direct Growth,Debt,Moderate Risk,3.0,1.79,5.65,6.38
622,Nippon,Nippon India Nivesh Lakshya Fund Direct Growth,Debt,Moderate Risk,,2.04,5.64,
623,HSBC,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund Direct Growth,Other,Very High Risk,,-10.17,5.63,6.66
624,Axis,Axis Treasury Advantage Direct Fund Growth,Debt,Low to Moderate Risk,4.0,3.93,5.63,6.68
625,DSP,DSP Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.68,5.63,6.34
626,PGIM,PGIM India Gilt Direct Plan Growth,Debt,Low to Moderate Risk,3.0,2.48,5.62,6.42
627,IDFC,IDFC Bond Fund Medium Term Plan Direct Growth,Debt,Moderate Risk,3.0,1.48,5.6,6.41
628,Nippon,Nippon India Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,1.0,2.41,5.6,5.82
629,LIC,LIC MF Savings Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.68,5.58,5.65
630,DSP,DSP Corporate Bond Fund Direct Growth,Debt,Moderate Risk,2.0,1.98,5.57,
631,Sundaram,Sundaram Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,12.58,5.57,6.32
632,Quant,Quant Dynamic Bond Fund Direct Growth,Debt,Low Risk,3.0,4.44,5.55,5.4
633,PGIM,PGIM India Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.0,5.54,4.48
634,L&T,L&T Flexi Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.46,5.53,6.44
635,IDFC,IDFC Government Securities Fund Constant Maturity Direct Growth,Debt,Moderate Risk,,-0.13,5.53,8.15
636,Baroda,Baroda BNP Paribas Dynamic Bond Plan Direct Growth,Debt,Moderate Risk,2.0,3.3,5.52,5.79
637,LIC,LIC MF Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.98,5.52,6.84
638,Aditya,Aditya Birla Sun Life Savings Direct Growth,Debt,Moderate Risk,4.0,4.15,5.5,6.44
639,LIC,LIC MF Short Term Debt Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.34,5.48,
640,Tata,Tata Treasury Advantage Direct Plan Growth,Debt,Low to Moderate Risk,3.0,3.75,5.48,5.19
641,Baroda,Baroda BNP Paribas Corporate Bond Fund Direct Growth,Debt,Moderate Risk,2.0,1.03,5.47,4.33
642,L&T,L&T Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.8,5.46,5.74
643,SBI,SBI Magnum Constant Maturity Fund Direct Growth,Debt,Moderate Risk,,1.09,5.45,7.66
644,Mahindra,Mahindra Manulife Low Duration Fund Direct Growth,Debt,Moderate Risk,4.0,3.72,5.41,6.4
645,Invesco,Invesco India Treasury Advantage Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.54,5.39,6.4
646,PGIM,PGIM India Ultra Short Duration Direct Growth,Debt,Low to Moderate Risk,1.0,4.04,5.36,7.29
647,SBI,SBI Magnum Low Duration Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.7,5.36,6.35
648,JM,JM Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.39,5.36,6.28
649,L&T,L&T Money Market Fund Direct Growth,Debt,Low to Moderate Risk,1.0,3.73,5.31,6.1
650,Axis,Axis Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,4.26,5.25,
651,Tata,Tata Money Market Fund Direct Growth,Debt,Moderate Risk,5.0,4.2,5.24,4.78
652,Aditya,Aditya Birla Sun Life Money Manager Fund Direct Growth,Debt,Moderate Risk,4.0,4.15,5.24,6.4
653,HDFC,HDFC Gilt Fund Direct Plan Growth,Debt,Moderate Risk,2.0,1.37,5.24,5.38
654,Franklin,Franklin India Multi Asset Solution Fund Direct Growth,Other,Moderately High Risk,1.0,4.81,5.23,4.8
655,HDFC,HDFC Income Direct Plan Growth,Debt,Moderate Risk,2.0,1.79,5.22,5.0
656,HDFC,HDFC Money Market Fund Direct Plan Growth,Debt,Moderate Risk,4.0,4.11,5.22,6.3
657,IDFC,IDFC Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.54,5.19,6.2
658,UTI,UTI Gilt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,1.93,5.19,6.11
659,Invesco,Invesco India Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,1.0,1.03,5.18,6.37
660,HDFC,HDFC Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,3.96,5.18,
661,IDFC,IDFC Bond Fund Income Plan Direct Growth,Debt,Moderate Risk,2.0,0.86,5.18,6.05
662,Indiabulls,Indiabulls Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.31,5.17,
663,Axis,Axis Money Market Fund Direct Growth,Debt,Moderate Risk,4.0,4.15,5.17,
664,Nippon,Nippon India Ultra Short Duration Fund Direct Growth,Debt,Moderately High Risk,2.0,4.85,5.13,5.93
665,Mirae,Mirae Asset Savings Fund Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.78,5.12,5.84
666,Canara,Canara Robeco Gilt Fund Direct Growth,Debt,Moderate Risk,3.0,2.22,5.12,5.73
667,Aditya,Aditya Birla Sun Life Retirement Fund The 50s Plan Direct Growth,Solution Oriented,Moderately High Risk,2.0,1.77,5.1,
668,Canara,Canara Robeco Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,2.57,5.1,5.47
669,SBI,SBI Savings Fund Direct Growth,Debt,Moderate Risk,3.0,4.05,5.08,6.18
670,Tata,Tata Gilt Securities Fund Direct Growth,Debt,Moderate Risk,2.0,2.52,5.07,5.57
671,Nippon,Nippon India Money Market Fund Direct Growth,Debt,Moderate Risk,5.0,4.27,5.07,6.26
672,L&T,L&T Credit Risk Fund Direct Growth,Debt,Moderate Risk,2.0,5.04,5.07,5.04
673,Kotak,Kotak Savings Fund Direct Growth,Debt,Low to Moderate Risk,4.0,4.08,5.05,6.16
674,Tata,Tata Arbitrage Fund Direct Growth,Hybrid,Low Risk,5.0,4.07,5.03,
675,ICICI,ICICI Prudential Money Market Direct Growth,Debt,Moderate Risk,3.0,4.01,5.03,6.18
676,UTI,UTI Money Market Fund Direct Growth,Debt,Moderate Risk,4.0,4.16,5.01,6.21
677,Sundaram,Sundaram Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.46,5.0,5.85
678,LIC,LIC MF Bond Fund Direct Growth,Debt,Moderate Risk,2.0,2.38,4.97,5.54
679,Aditya,Aditya Birla Sun Life Dynamic Bond Retail Fund Direct Growth,Debt,Moderate Risk,3.0,6.24,4.96,4.85
680,Edelweiss,Edelweiss Money Market Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.66,4.96,6.42
681,Franklin,Franklin India Savings Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.83,4.94,6.16
682,Quant,Quant Liquid Direct Plan Growth,Debt,Moderate Risk,5.0,4.38,4.92,5.9
683,Edelweiss,Edelweiss Arbitrage Fund Direct Growth,Hybrid,Low Risk,5.0,4.43,4.91,5.73
684,Baroda,Baroda BNP Paribas Gilt Direct Growth,Debt,Low to Moderate Risk,2.0,1.04,4.9,5.78
685,HSBC,HSBC Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,1.0,2.4,4.89,4.03
686,Tata,Tata Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,4.0,4.16,4.88,
687,Kotak,Kotak Money Market Fund Direct Growth,Debt,Low to Moderate Risk,3.0,4.16,4.88,6.08
688,Canara,Canara Robeco Savings Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.51,4.88,5.94
689,Invesco,Invesco India Arbitrage Fund Direct Growth,Hybrid,Low Risk,4.0,4.75,4.85,5.57
690,SBI,SBI Magnum Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.84,4.85,6.11
691,ICICI,ICICI Prudential Long Term Bond Fund Direct Plan Growth,Debt,Moderate Risk,,0.84,4.84,6.29
692,Invesco,Invesco India Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.97,4.82,6.03
693,Taurus,Taurus Liquid Fund Super Institutional Direct Growth,Debt,Low Risk,1.0,3.24,4.81,4.59
694,IDFC,IDFC Money Manager Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.94,4.8,5.61
695,Sundaram,Sundaram Money Direct Growth,Debt,Low to Moderate Risk,3.0,3.38,4.79,5.71
696,Axis,Axis Arbitrage Fund Direct Growth,Hybrid,Low Risk,5.0,4.61,4.78,5.63
697,Invesco,Invesco India Money Market Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.44,4.78,5.9
698,DSP,DSP World Agriculture Direct Plan Growth,Other,Very High Risk,,-18.15,4.77,5.74
699,Principal,Principal Retirement Savings Fund Progressive Plan Direct Growth,Solution Oriented,Moderately High Risk,,14.2,4.77,9.65
700,BOI,BOI AXA Ultra Short Duration Fund Direct Bonus,Debt,Low to Moderate Risk,2.0,3.2,4.77,5.97
701,Invesco,Invesco India Invesco Pan European Equity FoF Direct Growth,Other,Very High Risk,3.0,-14.55,4.77,2.83
702,Kotak,Kotak Equity Arbitrage Fund Direct Growth,Hybrid,Low Risk,4.0,4.4,4.76,5.59
703,Nippon,Nippon India Arbitrage Fund Direct Growth,Hybrid,Low Risk,4.0,4.28,4.76,5.73
704,Baroda,Baroda BNP Paribas Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,4.23,4.76,
705,Baroda,Baroda BNP Paribas Medium Duration Fund Direct Growth,Debt,Moderate Risk,2.0,2.46,4.73,3.26
706,L&T,L&T Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.88,4.72,5.91
707,IDBI,IDBI Gilt Fund Direct Growth,Debt,Moderate Risk,1.0,1.82,4.72,4.81
708,Franklin,Franklin India Government Securities Fund Direct Plan Growth,Debt,Moderate Risk,2.0,2.25,4.72,4.67
709,L&T,L&T Arbitrage Opportunities Fund Direct Growth,Hybrid,Low Risk,4.0,3.83,4.71,5.53
710,IDFC,IDFC Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.8,4.71,
711,DSP,DSP Ultra Short Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.96,4.7,5.55
712,DSP,DSP Savings Direct Plan Growth,Debt,Moderate Risk,2.0,3.38,4.7,5.9
713,Baroda,Baroda BNP Paribas Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.78,4.66,5.53
714,Aditya,Aditya Birla Sun Life Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,4.08,4.65,5.51
715,Union,Union Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,1.0,-0.23,4.62,5.22
716,UTI,UTI Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.95,4.62,5.5
717,HSBC,HSBC Flexi Debt Fund Direct Growth,Debt,Moderate Risk,2.0,1.19,4.6,5.45
718,ICICI,ICICI Prudential Equity Arbitrage Direct Growth,Hybrid,Low Risk,3.0,4.11,4.57,5.47
719,Sundaram,Sundaram Money Market Fund Direct Growth,Debt,Low Risk,2.0,3.85,4.52,
720,Mahindra,Mahindra Manulife Dynamic Bond Yojana Direct Growth,Debt,Moderate Risk,,0.96,4.52,
721,Aditya,Aditya Birla Sun Life Retirement Fund The 50s Plus Debt Plan Direct Growth,Solution Oriented,Moderate Risk,1.0,1.67,4.51,
722,HSBC,HSBC Debt Fund Direct Growth,Debt,Moderate Risk,2.0,0.64,4.51,5.44
723,IDFC,IDFC Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,4.03,4.45,5.49
724,Union,Union Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.66,4.43,
725,Bank,Bank of India Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.72,4.43,5.78
726,Indiabulls,Indiabulls Short Term Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.39,4.43,5.81
727,DSP,DSP 10Y G Sec Fund Direct Growth,Debt,Moderate Risk,,-0.86,4.41,5.2
728,PGIM,PGIM India Arbitrage Fund Direct Growth,Hybrid,Low Risk,2.0,3.87,4.4,5.18
729,DSP,DSP Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.8,4.38,
730,WhiteOak,WhiteOak Capital Ultra Short Term Fund Direct Growth,Debt,Moderately Low Risk,2.0,4.43,4.37,
731,HDFC,HDFC Arbitrage Fund Wholesale Direct Growth,Hybrid,Low Risk,2.0,3.87,4.33,5.14
732,Canara,Canara Robeco Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.62,4.31,5.35
733,SBI,SBI Arbitrage Opportunities Fund Direct Growth,Hybrid,Low Risk,2.0,4.47,4.3,5.34
734,IDBI,IDBI Credit Risk Fund Direct Growth,Debt,Moderately High Risk,2.0,14.15,4.28,3.69
735,LIC,LIC MF Arbitrage Fund Direct Growth,Hybrid,Low Risk,2.0,4.22,4.27,
